customer_id,first_name,last_name,email,street,city,state,country
0,William,Johnson,wrodriguez@example.org,6203 Timothy Falls Apt. 961,Port Karen,New Jersey,Suriname
1,Sara,Williams,alexander09@example.org,839 Juan Parkway,Katherinefurt,Wisconsin,Italy
2,Mary,Higgins,debracamacho@example.com,18313 Jeffrey Springs,West Jack,Montana,Palau
3,Patricia,Wright,ricetammy@example.net,106 George Plains,Foxland,California,Maldives
4,Tina,Jones,dwayne55@example.org,90003 Hardin Island Apt. 977,Hamptonfort,Massachusetts,Nauru
5,Donna,Garcia,mwright@example.org,58922 Erin Place,Wendymouth,Hawaii,Spain
6,Chad,Lopez,mary05@example.net,98247 John Road,Freemanville,Iowa,Angola
7,Michael,Cross,jpope@example.com,538 Moore Wells Suite 119,Lake Rachael,Missouri,Malawi
8,Ann,Burns,dillonjessica@example.net,47288 Darrell Light Apt. 320,Westbury,Maine,Malawi
9,Ethan,Blake,madison68@example.com,0557 Gary Creek,Carterberg,Connecticut,Peru
10,Elizabeth,Evans,ojones@example.org,7644 Smith Roads Suite 119,Kirkfort,Nevada,Israel
11,Chad,Barker,kyle54@example.org,795 Jones Cape Suite 163,New Stephanie,Alaska,Fiji
12,David,Stanley,kentcantrell@example.net,18636 Howard Views Apt. 625,Seanview,South Dakota,Pakistan
13,Christopher,Baker,wedwards@example.org,4322 Kathleen Shoals Suite 043,Williamsmouth,Kentucky,Maldives
14,Jessica,Miller,sarahclay@example.org,913 Miller Ports,Josephville,New York,Taiwan
15,Laura,Ford,lbaker@example.net,9165 Sheila Fork,Christianstad,Nebraska,American Samoa
16,David,Hayden,padillawilliam@example.net,60464 Thompson Forks Suite 630,Port Mistymouth,Kansas,Mozambique
17,Shannon,Williams,orrkara@example.com,0494 Linda Light,North Bethburgh,Louisiana,Grenada
18,Mary,Garrison,melvin10@example.net,875 Donald Meadows Suite 522,Port Jeremy,Minnesota,Korea
19,Ann,Franklin,alice86@example.com,5141 Garrett Roads Apt. 623,Ryanmouth,Washington,British Virgin Islands
20,Lisa,Stephens,kimberly19@example.org,38504 Terri Tunnel,Lake Allison,Oregon,Vietnam
21,Paul,Thomas,mark56@example.org,53443 Patrick Road Suite 213,Port Craigberg,Nebraska,Congo
22,Christine,Newman,charles70@example.org,534 Decker Rest,Derekland,Virginia,Malta
23,Danielle,Martinez,beankenneth@example.net,16129 Bryan Station,Huntberg,Alabama,United Kingdom
24,Andrea,Campos,welchwilliam@example.net,6957 Wood Trail,West Williammouth,Illinois,United States of America
25,Nicholas,Suarez,darrylmartinez@example.org,55698 Rachel Terrace,North Larry,Colorado,Guyana
26,Marco,Krause,kthomas@example.net,26818 Howard Square Suite 503,New Ronald,Wisconsin,Gibraltar
27,Danielle,Scott,vwilliams@example.com,7790 Freeman Path,Raymondburgh,Wyoming,Greece
28,Kathleen,Hampton,jody36@example.org,7978 Roman Vista Apt. 087,East Shane,Kentucky,Guadeloupe
29,Destiny,Price,pmontgomery@example.com,0144 Nancy Trail Suite 915,Gilbertview,Iowa,Angola
30,Cameron,Mclaughlin,richard01@example.com,9616 Donna Shoals,Rogersview,Maryland,Sudan
31,Nicole,Ortiz,whitecharles@example.org,45034 Miller Loop,Lake Sean,Hawaii,Grenada
32,Roger,Farmer,eric26@example.org,797 Ramirez Course,Austinhaven,Pennsylvania,Saint Barthelemy
33,Brian,Johnson,murphyjessica@example.com,81395 Underwood River,New Annefurt,Massachusetts,Bahrain
34,Carl,Todd,khale@example.org,62291 Adrian Passage,Timothyview,Iowa,Dominican Republic
35,Kristina,Garza,taylorcatherine@example.net,9386 Moore Avenue Apt. 991,West Markfurt,Montana,Jamaica
36,Kathleen,Herman,scottsteven@example.net,179 Christopher Islands,Hawkinsview,New Mexico,Afghanistan
